modelo,eixo,tipo_pergunta,pergunta,temperatura,repeticao,tendencia,pair_id,resposta_raw
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.0,1,esquerda,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,esquerda,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.0,1,direita,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,direita,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.0,1,neutro,0,Concordo
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,neutro,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.5,1,esquerda,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.5,1,esquerda,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.5,1,direita,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.5,1,direita,0,Discordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.5,1,neutro,0,Neutro
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.5,1,neutro,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.5,2,esquerda,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.5,2,esquerda,0,Discordo
